name,eval_task_name,model_name,data_dir,model_name_or_path,task_name,output_dir,replacing_rate,scheduler_type,scheduler_linear_k,steps_for_replacing,model_type,config_name,tokenizer_name,cache_dir,max_seq_length,do_train,do_eval,evaluate_during_training,do_lower_case,per_gpu_train_batch_size,per_gpu_eval_batch_size,gradient_accumulation_steps,learning_rate,weight_decay,adam_epsilon,max_grad_norm,num_train_epochs,warmup_steps,no_cuda,overwrite_output_dir,overwrite_cache,n_gpu,output_mode,train_batch_size,eval_batch_size,training_time,accuracy,eval_time,meta_amb_precision,meta_amb_recall,meta_amb_f1-score,meta_amb_support,meta_minus_m_precision,meta_minus_m_recall,meta_minus_m_f1-score,meta_minus_m_support,meta_plus_m_precision,meta_plus_m_recall,meta_plus_m_f1-score,meta_plus_m_support,meta_zero_precision,meta_zero_recall,meta_zero_f1-score,meta_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_Nhotels_text-run-1,multiemo_en_hotels_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_text,multiemo_en_Nhotels_text,data/models/bert-of-theseus/multiemo_en_Nhotels_text-run-1,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,345.934136,0.7721518987341772,1.947604,0.5689655172413793,0.38372093023255816,0.45833333333333337,86,0.8284023668639053,0.8383233532934131,0.8333333333333334,167,0.7424242424242424,0.98,0.8448275862068965,100,0.9444444444444444,0.8095238095238095,0.8717948717948718,42,0.771059142743493,0.7528920232624452,0.7520722811671088,395,0.76248941938765,0.7721518987341772,0.7586872824541966,395,267873391,267832336,66958084
multiemo_en_Nhotels_text-run-2,multiemo_en_hotels_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_text,multiemo_en_Nhotels_text,data/models/bert-of-theseus/multiemo_en_Nhotels_text-run-2,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,354.058414,0.7518987341772152,1.788234,0.4838709677419355,0.3488372093023256,0.4054054054054055,86,0.7759562841530054,0.8502994011976048,0.8114285714285715,167,0.8035714285714286,0.9,0.8490566037735849,100,0.9210526315789473,0.8333333333333334,0.875,42,0.7461128280113293,0.7331174859583159,0.7352226451518905,395,0.734782167247638,0.7518987341772152,0.7393141687868222,395,267873391,267832336,66958084
multiemo_en_Nhotels_text-run-3,multiemo_en_hotels_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_text,multiemo_en_Nhotels_text,data/models/bert-of-theseus/multiemo_en_Nhotels_text-run-3,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,347.970433,0.7746835443037975,1.720464,0.5753424657534246,0.4883720930232558,0.5283018867924528,86,0.8033707865168539,0.8562874251497006,0.8289855072463769,167,0.8148148148148148,0.88,0.8461538461538461,100,0.9166666666666666,0.7857142857142857,0.8461538461538461,42,0.7775486834379399,0.7525934509718105,0.7623987715866305,395,0.7686679870495964,0.7746835443037975,0.7696921218433976,395,267873391,267832336,66958084
multiemo_en_Nhotels_text-run-4,multiemo_en_hotels_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_text,multiemo_en_Nhotels_text,data/models/bert-of-theseus/multiemo_en_Nhotels_text-run-4,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,349.872101,0.779746835443038,1.715589,0.6190476190476191,0.3023255813953488,0.40625,86,0.8118279569892473,0.9041916167664671,0.8555240793201133,167,0.7384615384615385,0.96,0.8347826086956522,100,0.9459459459459459,0.8333333333333334,0.8860759493670887,42,0.7788207651110878,0.7499626328737873,0.7456581593457137,395,0.7655423990662864,0.779746835443038,0.7557049923783338,395,267873391,267832336,66958084
multiemo_en_Nhotels_text-run-5,multiemo_en_hotels_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_text,multiemo_en_Nhotels_text,data/models/bert-of-theseus/multiemo_en_Nhotels_text-run-5,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,349.328872,0.7544303797468355,1.747873,0.5769230769230769,0.3488372093023256,0.43478260869565216,86,0.8303030303030303,0.8203592814371258,0.8253012048192772,167,0.6906474820143885,0.96,0.803347280334728,100,0.8974358974358975,0.8333333333333334,0.8641975308641975,42,0.7488273716690983,0.7406324560181962,0.7319071561784637,395,0.7469191052398411,0.7544303797468355,0.738854759195986,395,267873391,267832336,66958084
multiemo_en_Nmedicine_text-run-1,multiemo_en_medicine_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_text,multiemo_en_Nmedicine_text,data/models/bert-of-theseus/multiemo_en_Nmedicine_text-run-1,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,400.789902,0.764525993883792,1.711538,0.21428571428571427,0.5454545454545454,0.30769230769230765,22,0.8346456692913385,0.7969924812030075,0.8153846153846154,133,0.8620689655172413,0.7731958762886598,0.8152173913043478,97,1.0,0.76,0.8636363636363636,75,0.7277500872735736,0.7189107257365532,0.7004826695044086,327,0.8389689583645448,0.764525993883792,0.7922452564056075,327,267873391,267832336,66958084
multiemo_en_Nmedicine_text-run-2,multiemo_en_medicine_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_text,multiemo_en_Nmedicine_text,data/models/bert-of-theseus/multiemo_en_Nmedicine_text-run-2,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,397.216088,0.7920489296636085,1.530144,0.3142857142857143,0.5,0.38596491228070173,22,0.7733333333333333,0.8721804511278195,0.8197879858657243,133,0.9047619047619048,0.7835051546391752,0.839779005524862,97,0.9655172413793104,0.7466666666666667,0.8421052631578948,75,0.7394745484400657,0.7255880681084154,0.7219092917072957,327,0.8255147306207097,0.7920489296636085,0.8016498118136712,327,267873391,267832336,66958084
multiemo_en_Nmedicine_text-run-3,multiemo_en_medicine_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_text,multiemo_en_Nmedicine_text,data/models/bert-of-theseus/multiemo_en_Nmedicine_text-run-3,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,400.831528,0.764525993883792,1.508076,0.22413793103448276,0.5909090909090909,0.32499999999999996,22,0.8448275862068966,0.7368421052631579,0.7871485943775102,133,0.8666666666666667,0.8041237113402062,0.8342245989304814,97,0.9682539682539683,0.8133333333333334,0.8840579710144927,75,0.7259715380405036,0.7363020602114472,0.7076077910806211,327,0.8378557117247405,0.764525993883792,0.7922473913594877,327,267873391,267832336,66958084
multiemo_en_Nmedicine_text-run-4,multiemo_en_medicine_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_text,multiemo_en_Nmedicine_text,data/models/bert-of-theseus/multiemo_en_Nmedicine_text-run-4,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,399.899963,0.7706422018348624,1.522081,0.22,0.5,0.3055555555555556,22,0.8253968253968254,0.7819548872180451,0.803088803088803,133,0.8837209302325582,0.7835051546391752,0.8306010928961748,97,0.9384615384615385,0.8133333333333334,0.8714285714285714,75,0.7168948235227305,0.7196983437976384,0.7026685057422762,327,0.8279000715441936,0.7706422018348624,0.7934510149880882,327,267873391,267832336,66958084
multiemo_en_Nmedicine_text-run-5,multiemo_en_medicine_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_text,multiemo_en_Nmedicine_text,data/models/bert-of-theseus/multiemo_en_Nmedicine_text-run-5,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,402.676511,0.7951070336391437,1.529577,0.2553191489361702,0.5454545454545454,0.34782608695652173,22,0.8283582089552238,0.8345864661654135,0.8314606741573033,133,0.8953488372093024,0.7938144329896907,0.8415300546448087,97,1.0,0.8,0.888888888888889,75,0.7447565487751742,0.7434638611524125,0.7274264261618807,327,0.8490443433545652,0.7951070336391437,0.8150811178690458,327,267873391,267832336,66958084
multiemo_en_Nproducts_text-run-1,multiemo_en_products_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_text,multiemo_en_Nproducts_text,data/models/bert-of-theseus/multiemo_en_Nproducts_text-run-1,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,594.452903,0.7291666666666666,0.269562,0.5333333333333333,0.8,0.64,10,1.0,0.7142857142857143,0.8333333333333333,35,0.4,1.0,0.5714285714285715,2,0.0,0.0,0.0,1,0.4833333333333333,0.6285714285714286,0.5111904761904762,48,0.8569444444444444,0.7291666666666666,0.764781746031746,48,267873391,267832336,66958084
multiemo_en_Nproducts_text-run-2,multiemo_en_products_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_text,multiemo_en_Nproducts_text,data/models/bert-of-theseus/multiemo_en_Nproducts_text-run-2,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,597.225419,0.7083333333333334,0.278321,0.4375,0.7,0.5384615384615384,10,0.9259259259259259,0.7142857142857143,0.8064516129032259,35,0.5,1.0,0.6666666666666666,2,0.0,0.0,0.0,1,0.4658564814814815,0.6035714285714285,0.5028949545078577,48,0.7871334876543209,0.7083333333333334,0.7279948993658673,48,267873391,267832336,66958084
multiemo_en_Nproducts_text-run-3,multiemo_en_products_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_text,multiemo_en_Nproducts_text,data/models/bert-of-theseus/multiemo_en_Nproducts_text-run-3,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,601.61714,0.7083333333333334,0.233258,0.4117647058823529,0.7,0.5185185185185185,10,0.9259259259259259,0.7142857142857143,0.8064516129032259,35,0.5,1.0,0.6666666666666666,2,0.0,0.0,0.0,1,0.4594226579520697,0.6035714285714285,0.4979091995221028,48,0.7817719680464777,0.7083333333333334,0.7238401035444046,48,267873391,267832336,66958084
multiemo_en_Nproducts_text-run-4,multiemo_en_products_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_text,multiemo_en_Nproducts_text,data/models/bert-of-theseus/multiemo_en_Nproducts_text-run-4,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,592.186034,0.6666666666666666,0.239538,0.4166666666666667,0.5,0.45454545454545453,10,0.8928571428571429,0.7142857142857143,0.7936507936507937,35,0.4,1.0,0.5714285714285715,2,0.0,0.0,0.0,1,0.4273809523809524,0.5535714285714286,0.4549062049062049,48,0.7545138888888888,0.6666666666666666,0.6972101972101973,48,267873391,267832336,66958084
multiemo_en_Nproducts_text-run-5,multiemo_en_products_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_text,multiemo_en_Nproducts_text,data/models/bert-of-theseus/multiemo_en_Nproducts_text-run-5,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,598.405096,0.6875,0.238435,0.4117647058823529,0.7,0.5185185185185185,10,0.9230769230769231,0.6857142857142857,0.7868852459016394,35,0.5,1.0,0.6666666666666666,2,0.0,0.0,0.0,1,0.45871040723981904,0.5964285714285714,0.4930176077717061,48,0.7796945701357466,0.6875,0.7095729609390813,48,267873391,267832336,66958084
multiemo_en_Nreviews_text-run-1,multiemo_en_reviews_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nreviews_text,multiemo_en_Nreviews_text,data/models/bert-of-theseus/multiemo_en_Nreviews_text-run-1,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,609.613176,0.72,0.244065,0.8333333333333334,0.5555555555555556,0.6666666666666667,18,0.42857142857142855,0.75,0.5454545454545454,4,0.8846153846153846,0.8214285714285714,0.8518518518518519,28,0.0,0.0,0.0,0,0.5366300366300366,0.5317460317460317,0.515993265993266,50,0.8296703296703296,0.72,0.7606734006734007,50,267873391,267832336,66958084
multiemo_en_Nreviews_text-run-2,multiemo_en_reviews_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nreviews_text,multiemo_en_Nreviews_text,data/models/bert-of-theseus/multiemo_en_Nreviews_text-run-2,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,601.257245,0.74,0.2697,0.9090909090909091,0.5555555555555556,0.6896551724137931,18,0.42857142857142855,0.75,0.5454545454545454,4,0.8888888888888888,0.8571428571428571,0.8727272727272727,28,0.0,0.0,0.0,0,0.5566378066378066,0.5406746031746031,0.5269592476489028,50,0.8593362193362194,0.74,0.7806394984326019,50,267873391,267832336,66958084
multiemo_en_Nreviews_text-run-3,multiemo_en_reviews_text,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nreviews_text,multiemo_en_Nreviews_text,data/models/bert-of-theseus/multiemo_en_Nreviews_text-run-3,0.3,linear,0.00014,0,bert,,,,256,True,False,True,True,8,8,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,8,8,601.476995,0.7,0.270672,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,0.42857142857142855,0.75,0.5454545454545454,4,0.8571428571428571,0.8571428571428571,0.8571428571428571,28,0.0,0.0,0.0,0,0.5436507936507936,0.5128968253968254,0.4987974987974988,50,0.8342857142857143,0.7,0.7369696969696968,50,267873391,267832336,66958084
